State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
MO,199,646,no,no,20,220.11,39,37.42,201.96,100,17.17,324.45,58,14.6,19.38,7,5.23,9,yes
NH,180,202,no,yes,42,224.13,159,38.1,123.91,185,10.53,139.43,155,6.27,13.01,9,3.51,0,yes
OK,198,415,no,yes,12,297.68,21,50.61,287.32,183,24.42,111.68,78,5.03,13.52,4,3.65,4,yes
IA,245,305,no,yes,36,259.3,111,44.08,273.88,181,23.28,310.5,102,13.97,12.5,10,3.38,7,yes
WY,88,917,no,no,32,189.9,193,32.28,190.46,28,16.19,17.24,113,0.78,12.46,12,3.36,1,yes
ID,161,212,yes,yes,23,228.76,39,38.89,54.03,101,4.59,47.73,160,2.15,2.94,19,0.79,3,no
MT,177,646,no,yes,43,95.9,37,16.3,87.85,122,7.47,28.84,46,1.3,10.87,1,2.93,3,yes
MO,29,512,no,yes,10,207.57,47,35.29,258.47,53,21.97,295.09,97,13.28,7.72,13,2.08,6,yes
CO,63,415,yes,yes,16,171.23,182,29.11,282.13,26,23.98,3.71,149,0.17,8.85,8,2.39,0,yes
OK,235,214,no,yes,3,46.67,74,7.93,97.74,101,8.31,301.58,156,13.57,10.47,9,2.83,8,yes
VA,150,503,yes,no,46,84.89,182,14.43,128.79,116,10.95,157.94,161,7.11,2.57,9,0.69,2,yes
CO,154,214,yes,no,24,102.09,178,17.36,27.17,103,2.31,1.41,41,0.06,7.19,9,1.94,5,yes
NY,156,510,yes,no,29,323.51,106,55.0,249.71,44,21.23,140.58,179,6.33,1.27,18,0.34,9,no
OH,114,312,yes,no,8,80.64,187,13.71,1.25,113,0.11,65.38,46,2.94,19.59,10,5.29,4,yes
NY,213,510,yes,no,20,101.24,7,17.21,16.29,86,1.38,218.54,73,9.83,2.37,10,0.64,3,yes
IA,49,305,yes,no,19,129.27,85,21.98,1.52,30,0.13,237.78,50,10.7,5.17,2,1.4,8,no
LA,199,212,yes,no,18,232.31,67,39.49,225.86,163,19.2,170.63,172,7.68,17.83,18,4.81,8,no
WV,81,917,no,no,18,41.38,74,7.03,146.09,188,12.42,14.18,93,0.64,9.65,0,2.61,0,no
MT,84,512,no,no,11,333.88,199,56.76,104.14,36,8.85,229.65,119,10.33,2.71,11,0.73,6,no
FL,105,702,yes,no,36,302.95,136,51.5,319.45,194,27.15,294.71,74,13.26,7.68,14,2.07,9,yes
WV,177,404,no,yes,41,202.03,89,34.35,67.48,35,5.74,252.11,161,11.34,2.32,13,0.63,8,no
IN,148,713,no,no,16,235.91,129,40.1,136.28,118,11.58,290.49,148,13.07,4.0,2,1.08,4,no
MO,118,718,yes,no,36,5.83,79,0.99,329.11,4,27.97,70.18,122,3.16,1.04,19,0.28,0,no
MO,86,202,no,no,47,118.63,94,20.17,149.49,173,12.71,311.11,140,14.0,8.76,12,2.37,7,yes
OK,220,212,yes,no,38,278.48,69,47.34,194.14,51,16.5,112.77,181,5.07,16.13,17,4.36,4,yes
IA,63,312,no,yes,27,27.12,89,4.61,28.12,48,2.39,4.69,152,0.21,11.72,15,3.16,5,no
MA,189,415,no,no,40,98.81,58,16.8,276.56,5,23.51,295.19,121,13.28,12.13,5,3.28,6,no
CO,104,510,no,yes,34,204.85,146,34.82,147.97,122,12.58,329.64,20,14.83,4.01,9,1.08,9,yes
WY,49,917,no,yes,46,89.74,27,15.26,280.18,137,23.82,229.45,0,10.33,6.88,16,1.86,6,yes
CO,71,404,no,no,47,326.89,71,55.57,88.83,117,7.55,81.0,185,3.64,16.9,16,4.56,6,yes
NJ,1,702,yes,yes,17,45.87,13,7.8,147.87,22,12.57,88.11,68,3.96,1.76,7,0.48,0,yes
MT,224,503,yes,yes,13,279.09,23,47.45,275.29,144,23.4,163.31,85,7.35,17.16,3,4.63,6,no
NH,141,404,yes,no,34,177.78,111,30.22,340.86,109,28.97,314.24,70,14.14,9.67,14,2.61,2,no
MO,222,415,no,no,43,262.62,43,44.65,20.87,43,1.77,52.36,12,2.36,16.74,0,4.52,4,yes
NH,215,312,yes,yes,40,108.75,55,18.49,284.36,40,24.17,289.09,179,13.01,6.36,6,1.72,9,no
ID,179,512,yes,yes,6,180.07,119,30.61,105.24,142,8.95,101.96,22,4.59,6.78,9,1.83,4,yes
MO,123,718,no,no,40,299.89,178,50.98,192.76,171,16.38,283.01,148,12.74,15.03,6,4.06,7,no
LA,184,512,yes,no,12,163.41,31,27.78,101.53,185,8.63,322.09,5,14.49,15.7,0,4.24,6,yes
LA,211,512,yes,yes,17,125.9,177,21.4,214.71,49,18.25,149.62,147,6.73,4.59,16,1.24,6,yes
NH,62,713,no,yes,36,187.65,168,31.9,123.83,51,10.53,127.77,75,5.75,19.46,11,5.25,5,no
LA,32,404,yes,yes,12,251.08,193,42.68,116.77,69,9.93,280.78,167,12.64,1.69,16,0.46,6,no
TX,158,206,yes,no,35,155.25,24,26.39,13.28,195,1.13,185.32,8,8.34,1.37,14,0.37,6,yes
NJ,29,646,yes,yes,30,328.61,115,55.86,51.44,190,4.37,239.56,177,10.78,11.91,15,3.22,4,no
VA,49,408,no,no,1,103.23,188,17.55,320.98,185,27.28,217.99,27,9.81,14.45,13,3.9,4,no
NY,173,404,yes,no,15,166.41,65,28.29,349.4,150,29.7,53.51,138,2.41,19.22,2,5.19,3,no
IN,221,202,yes,yes,8,264.92,41,45.04,273.18,171,23.22,295.68,115,13.31,8.1,18,2.19,3,no
TX,30,202,no,no,8,241.19,192,41.0,100.38,108,8.53,68.52,95,3.08,0.51,11,0.14,4,no
NH,144,206,yes,no,37,302.27,163,51.39,140.86,117,11.97,326.3,74,14.68,12.06,18,3.26,9,no
IA,168,305,no,no,10,348.88,75,59.31,258.83,108,22.0,87.7,87,3.95,5.79,17,1.56,8,no
TX,19,713,yes,no,21,149.4,136,25.4,338.98,94,28.81,256.86,55,11.56,8.66,13,2.34,5,no
IN,18,718,no,no,32,38.9,163,6.61,159.41,43,13.55,99.63,104,4.48,9.77,19,2.64,7,no
WY,1,404,yes,no,35,10.65,37,1.81,290.33,179,24.68,111.22,34,5.0,1.29,8,0.35,8,no
IN,78,702,no,no,44,254.41,160,43.25,341.27,66,29.01,108.5,24,4.88,9.72,2,2.62,3,yes
IA,115,503,no,yes,22,305.9,169,52.0,305.72,155,25.99,261.76,112,11.78,8.53,11,2.3,6,yes
FL,175,503,yes,yes,44,77.25,60,13.13,79.5,66,6.76,194.89,98,8.77,14.25,19,3.85,4,yes
WV,242,713,no,no,44,55.46,173,9.43,2.81,17,0.24,309.03,146,13.91,12.91,16,3.49,3,yes
NY,194,312,yes,yes,33,21.77,88,3.7,172.23,154,14.64,107.58,30,4.84,3.7,4,1.0,6,no
HI,246,702,yes,no,8,287.95,188,48.95,185.98,178,15.81,242.2,80,10.9,4.12,7,1.11,2,no
TX,220,214,yes,no,23,108.98,17,18.53,70.44,59,5.99,263.53,49,11.86,5.02,18,1.36,0,no
TX,113,212,no,no,7,140.59,69,23.9,99.64,73,8.47,53.02,86,2.39,3.58,3,0.97,6,no
IA,114,646,no,no,6,175.96,81,29.91,267.8,48,22.76,140.21,190,6.31,13.14,14,3.55,8,no
ID,222,415,no,yes,35,293.81,115,49.95,164.62,14,13.99,168.99,46,7.6,19.89,18,5.37,1,no
CO,166,510,no,yes,17,227.79,79,38.72,111.07,72,9.44,124.49,0,5.6,13.04,14,3.52,6,no
CO,179,305,yes,no,2,215.27,14,36.6,217.92,195,18.52,112.74,124,5.07,12.13,13,3.28,9,no
VA,63,718,no,yes,27,61.49,175,10.45,228.47,142,19.42,240.25,185,10.81,8.2,15,2.21,1,no
LA,132,214,yes,no,5,179.62,199,30.54,269.29,178,22.89,75.55,137,3.4,6.25,9,1.69,2,yes
WV,129,917,no,yes,43,250.38,12,42.56,54.85,47,4.66,248.29,135,11.17,18.22,13,4.92,9,yes
NH,8,305,no,no,43,340.64,118,57.91,259.53,71,22.06,327.27,105,14.73,19.38,19,5.23,9,no
MO,157,510,yes,yes,20,70.49,42,11.98,209.8,112,17.83,197.82,124,8.9,9.94,10,2.68,2,no
RI,55,510,yes,no,27,3.34,187,0.57,20.15,128,1.71,214.0,153,9.63,5.8,1,1.57,3,yes
NJ,103,408,yes,no,39,26.36,56,4.48,272.11,134,23.13,24.13,161,1.09,15.4,18,4.16,5,yes
FL,131,407,no,no,0,131.55,198,22.36,134.08,52,11.4,302.57,18,13.62,2.65,2,0.72,2,no
NY,32,408,no,yes,35,287.19,16,48.82,115.63,158,9.83,99.91,71,4.5,15.31,3,4.13,8,no
WY,10,512,yes,no,20,2.5,177,0.43,156.83,17,13.33,215.27,128,9.69,16.38,10,4.42,1,yes
MA,202,512,yes,yes,42,159.86,31,27.18,121.16,11,10.3,342.69,175,15.42,2.5,12,0.68,6,no
CO,211,619,no,no,34,115.23,149,19.59,118.4,47,10.06,208.43,152,9.38,19.54,17,5.28,5,no
MA,110,512,yes,yes,12,18.37,54,3.12,282.83,29,24.04,253.65,23,11.41,19.71,17,5.32,1,yes
IA,162,917,no,yes,48,157.58,184,26.79,43.58,96,3.7,155.86,174,7.01,18.73,18,5.06,2,no
OK,124,415,no,no,9,89.16,12,15.16,339.71,6,28.88,21.13,83,0.95,9.92,11,2.68,5,yes
LA,225,214,yes,yes,43,123.16,46,20.94,194.23,91,16.51,279.16,119,12.56,4.92,0,1.33,9,yes
RI,87,305,yes,yes,46,246.97,86,41.98,64.02,112,5.44,12.25,68,0.55,11.64,5,3.14,3,yes
TX,55,214,no,no,9,182.54,61,31.03,45.93,2,3.9,245.23,194,11.04,8.4,2,2.27,0,yes
CO,220,214,yes,no,45,43.63,181,7.42,207.03,106,17.6,8.02,159,0.36,4.12,16,1.11,0,yes
MO,32,702,yes,yes,12,336.5,28,57.21,221.55,62,18.83,301.81,144,13.58,8.47,2,2.29,2,yes
VA,178,718,yes,no,36,222.57,21,37.84,18.56,133,1.58,55.17,188,2.48,13.28,0,3.59,7,no
OK,135,713,yes,no,37,268.05,64,45.57,85.05,101,7.23,180.0,105,8.1,1.42,2,0.38,3,no
IN,93,619,no,yes,23,27.72,28,4.71,278.41,14,23.66,209.0,68,9.4,6.67,3,1.8,0,yes
TX,8,202,no,yes,1,16.47,47,2.8,17.37,198,1.48,160.14,10,7.21,0.36,5,0.1,7,no
NY,65,512,no,no,21,6.81,4,1.16,299.28,170,25.44,119.27,165,5.37,14.99,6,4.05,9,no
OH,57,312,yes,yes,16,66.08,162,11.23,230.36,90,19.58,163.74,195,7.37,12.81,7,3.46,5,yes
VA,247,718,yes,no,35,145.04,100,24.66,152.05,80,12.92,109.0,146,4.9,1.25,12,0.34,0,yes
NJ,67,503,no,no,13,327.54,70,55.68,121.25,145,10.31,153.34,102,6.9,19.29,3,5.21,9,no
ID,216,407,no,yes,9,159.97,173,27.19,6.74,149,0.57,125.62,144,5.65,0.45,5,0.12,9,no
CO,215,407,no,yes,34,101.59,162,17.27,288.83,60,24.55,198.17,12,8.92,11.8,10,3.19,5,yes
NY,187,510,no,no,24,196.68,172,33.44,49.95,119,4.25,83.27,0,3.75,15.53,0,4.19,0,no
IN,72,619,yes,yes,2,39.18,140,6.66,108.34,60,9.21,346.03,1,15.57,15.76,7,4.26,9,no
ID,54,713,no,yes,46,213.33,137,36.27,199.19,52,16.93,175.3,108,7.89,0.69,1,0.19,9,yes
OK,249,407,yes,no,37,198.95,65,33.82,86.1,25,7.32,67.96,193,3.06,18.13,7,4.9,2,yes
NY,239,408,no,yes,16,277.2,197,47.12,174.0,114,14.79,166.97,195,7.51,18.37,19,4.96,1,no
IN,229,202,yes,no,11,345.34,71,58.71,283.27,39,24.08,303.25,143,13.65,11.23,8,3.03,3,no
OH,67,415,no,yes,23,87.81,24,14.93,164.69,87,14.0,7.63,3,0.34,9.64,3,2.6,1,no
MT,51,646,no,yes,28,178.38,171,30.32,332.14,115,28.23,237.84,56,10.7,0.9,16,0.24,4,no
MA,97,407,no,no,42,318.1,59,54.08,296.63,135,25.21,191.79,112,8.63,11.24,6,3.03,3,yes
MT,92,718,no,no,24,274.82,174,46.72,116.56,20,9.91,59.35,22,2.67,8.19,9,2.21,5,no
MO,239,503,no,yes,35,170.59,39,29.0,139.99,42,11.9,286.12,123,12.88,15.46,4,4.17,6,yes
MO,8,646,no,no,25,330.88,6,56.25,148.16,20,12.59,129.11,116,5.81,8.08,9,2.18,1,no
NJ,162,646,yes,no,37,20.03,173,3.41,219.16,130,18.63,102.83,129,4.63,13.67,11,3.69,1,yes
IA,35,512,no,no,0,325.85,150,55.39,100.38,30,8.53,289.84,194,13.04,2.03,19,0.55,7,yes
FL,96,512,no,yes,19,17.68,45,3.01,339.24,154,28.84,223.48,86,10.06,2.66,5,0.72,8,no
MO,88,718,yes,no,27,191.56,85,32.57,213.04,26,18.11,314.39,153,14.15,2.79,0,0.75,4,no
FL,78,702,no,no,15,311.65,140,52.98,139.79,72,11.88,220.46,124,9.92,0.91,2,0.25,6,no
TX,32,713,no,no,46,91.95,20,15.63,225.75,184,19.19,259.29,110,11.67,10.83,6,2.92,8,yes
NH,120,415,yes,yes,16,165.29,0,28.1,138.39,96,11.76,292.76,6,13.17,15.88,10,4.29,0,yes
OH,46,202,yes,no,39,113.52,122,19.3,286.23,160,24.33,19.16,43,0.86,12.21,11,3.3,7,no
OK,235,702,no,no,27,333.25,146,56.65,198.74,89,16.89,271.62,160,12.22,11.5,8,3.11,9,yes
OH,144,202,no,yes,11,288.28,124,49.01,14.69,43,1.25,214.8,112,9.67,13.61,0,3.67,9,no
RI,196,510,yes,yes,26,248.15,187,42.19,61.86,42,5.26,24.33,191,1.09,6.79,3,1.83,8,no
WV,244,305,yes,no,41,205.67,32,34.96,302.75,30,25.73,178.0,163,8.01,7.24,1,1.95,8,yes
MO,165,713,no,yes,46,287.21,3,48.83,197.01,116,16.75,28.86,3,1.3,6.29,1,1.7,9,no
WY,182,202,yes,no,29,137.29,2,23.34,332.62,192,28.27,257.58,117,11.59,14.24,16,3.84,6,yes
NH,213,415,no,yes,40,156.64,90,26.63,25.35,75,2.15,191.28,22,8.61,3.23,1,0.87,9,no
CO,142,917,no,no,33,255.5,51,43.44,103.34,144,8.78,333.75,152,15.02,0.26,3,0.07,2,no
VA,223,407,no,no,36,125.21,27,21.29,67.74,142,5.76,64.1,89,2.88,11.92,10,3.22,4,no
MA,55,713,yes,yes,5,22.37,69,3.8,193.84,33,16.48,212.11,91,9.54,18.85,18,5.09,1,yes
IA,176,619,no,no,6,26.02,197,4.42,133.98,79,11.39,74.05,154,3.33,12.19,12,3.29,9,yes
IN,210,702,no,no,31,40.38,182,6.86,55.05,3,4.68,214.92,50,9.67,15.66,17,4.23,2,no
IA,7,503,yes,yes,31,304.39,56,51.75,224.96,71,19.12,252.93,114,11.38,13.46,18,3.63,9,no
MA,74,415,yes,no,24,165.28,107,28.1,187.7,97,15.95,252.81,80,11.38,9.95,14,2.69,6,no
NJ,7,415,no,no,32,249.51,143,42.42,96.16,109,8.17,285.28,102,12.84,14.37,11,3.88,0,yes
IN,161,404,yes,yes,6,137.52,23,23.38,167.92,27,14.27,298.74,196,13.44,16.48,10,4.45,2,no
VA,151,212,no,yes,11,90.55,196,15.39,261.01,129,22.19,27.05,79,1.22,4.49,0,1.21,4,no
NH,85,407,no,no,15,121.52,168,20.66,71.85,16,6.11,120.14,150,5.41,6.72,15,1.81,3,yes
TX,147,305,yes,no,15,277.96,76,47.25,102.52,57,8.71,240.49,102,10.82,4.47,12,1.21,2,yes
OK,112,305,yes,no,42,218.83,174,37.2,121.14,126,10.3,174.51,8,7.85,9.04,5,2.44,5,no
MA,125,512,yes,no,35,328.17,75,55.79,261.35,8,22.21,66.74,32,3.0,17.7,5,4.78,5,no
FL,147,214,yes,no,12,237.9,68,40.44,296.42,30,25.2,193.45,34,8.71,6.9,9,1.86,3,no
NH,36,512,no,no,6,199.56,100,33.93,131.74,193,11.2,142.6,49,6.42,7.49,1,2.02,8,yes
WY,29,646,no,no,35,213.57,158,36.31,103.82,87,8.82,136.51,23,6.14,17.21,2,4.65,5,yes
OH,188,619,yes,no,46,329.83,91,56.07,311.31,61,26.46,283.41,151,12.75,10.31,5,2.78,8,no
CO,82,619,no,no,8,275.87,91,46.9,349.78,18,29.73,142.66,146,6.42,10.71,15,2.89,9,yes
HI,2,713,no,no,31,8.41,29,1.43,234.62,80,19.94,9.26,38,0.42,17.22,5,4.65,9,no
IN,129,512,no,yes,10,186.95,17,31.78,346.49,106,29.45,20.32,188,0.91,9.81,12,2.65,1,no
MO,47,510,no,yes,7,240.92,43,40.96,230.99,54,19.63,299.69,24,13.49,13.63,3,3.68,5,no
IA,197,407,yes,no,32,262.04,154,44.55,256.71,155,21.82,336.21,152,15.13,1.71,14,0.46,3,no
VA,148,305,yes,yes,22,74.6,98,12.68,136.03,111,11.56,240.94,154,10.84,3.57,5,0.96,1,no
OH,11,619,yes,yes,24,303.51,153,51.6,151.54,122,12.88,127.53,31,5.74,8.09,0,2.18,4,yes
NH,234,202,no,no,7,334.55,120,56.87,50.45,177,4.29,328.51,138,14.78,9.9,8,2.67,2,yes
NY,130,407,yes,yes,44,82.85,114,14.08,287.96,64,24.48,231.98,196,10.44,19.31,11,5.21,5,no
IN,195,619,yes,no,21,308.92,59,52.52,325.87,123,27.7,295.52,107,13.3,19.41,10,5.24,7,yes
HI,215,713,no,yes,3,33.94,145,5.77,218.2,2,18.55,268.05,32,12.06,17.02,12,4.6,3,yes
VA,119,713,yes,no,39,19.5,55,3.32,120.28,179,10.22,132.7,146,5.97,6.31,0,1.7,3,yes
LA,140,702,yes,yes,2,45.23,30,7.69,53.91,137,4.58,167.55,106,7.54,19.28,18,5.21,4,no
OK,20,702,no,no,28,20.21,100,3.44,92.8,20,7.89,65.15,110,2.93,13.79,3,3.72,5,no
CO,5,415,no,yes,40,295.75,58,50.28,89.39,36,7.6,102.2,120,4.6,7.86,4,2.12,6,yes
NY,37,408,no,no,28,20.67,123,3.51,214.73,14,18.25,272.34,15,12.26,14.03,16,3.79,5,no
OK,166,407,no,yes,33,95.08,129,16.16,330.76,86,28.11,312.89,10,14.08,0.33,4,0.09,6,yes
CO,222,718,no,no,33,36.31,96,6.17,16.9,119,1.44,253.56,97,11.41,2.92,18,0.79,8,no
WY,137,503,no,no,27,103.4,166,17.58,0.36,136,0.03,162.81,115,7.33,16.59,2,4.48,3,yes
CO,226,646,no,yes,12,31.7,188,5.39,210.06,43,17.86,30.28,196,1.36,12.91,10,3.49,9,no
CO,53,202,yes,yes,14,233.8,106,39.75,99.42,38,8.45,19.93,182,0.9,7.28,1,1.97,0,yes
WY,172,510,yes,yes,22,46.66,190,7.93,308.19,132,26.2,131.01,24,5.9,10.01,13,2.7,8,no
OH,99,407,yes,no,43,298.15,17,50.69,114.54,24,9.74,162.34,92,7.31,18.1,5,4.89,6,no
ID,244,305,yes,yes,25,286.02,144,48.62,101.41,55,8.62,213.19,110,9.59,12.63,18,3.41,3,no
FL,86,917,no,no,3,4.78,166,0.81,94.33,120,8.02,2.27,95,0.1,7.96,0,2.15,9,yes
NJ,108,718,yes,yes,25,313.5,70,53.3,50.7,89,4.31,346.4,161,15.59,2.41,6,0.65,7,no
ID,24,646,no,no,39,10.13,105,1.72,203.54,63,17.3,127.38,11,5.73,5.87,1,1.58,6,no
NY,81,646,yes,no,8,83.88,53,14.26,58.87,199,5.0,296.83,20,13.36,19.57,18,5.28,1,yes
RI,202,713,yes,no,4,11.34,93,1.93,148.62,179,12.63,187.24,126,8.43,8.75,0,2.36,0,no
OH,158,415,no,yes,31,117.55,75,19.98,161.34,88,13.71,45.65,28,2.05,9.44,8,2.55,8,yes
NY,120,212,yes,yes,19,179.85,34,30.57,7.17,111,0.61,279.15,178,12.56,9.97,16,2.69,6,no
OK,59,202,yes,yes,49,278.83,10,47.4,5.88,75,0.5,248.44,120,11.18,17.68,9,4.77,9,yes
NY,238,206,yes,yes,10,118.29,60,20.11,182.07,136,15.48,184.6,123,8.31,12.08,5,3.26,0,no
IN,215,404,no,yes,14,246.92,43,41.98,243.61,137,20.71,180.09,150,8.1,13.87,2,3.74,3,yes
MA,128,212,no,no,31,65.63,120,11.16,329.75,9,28.03,30.62,32,1.38,7.79,19,2.1,4,yes
HI,224,702,no,yes,27,262.71,67,44.66,62.69,61,5.33,229.55,135,10.33,0.58,14,0.16,4,yes
MT,209,702,no,yes,21,82.6,24,14.04,36.14,89,3.07,318.94,169,14.35,18.62,19,5.03,4,no
MO,114,702,no,yes,40,50.24,175,8.54,18.23,59,1.55,32.64,76,1.47,18.98,5,5.12,2,no
NJ,115,917,no,no,16,64.89,159,11.03,152.61,146,12.97,92.23,196,4.15,18.98,2,5.12,4,no
NY,209,512,no,no,25,63.72,83,10.83,218.1,106,18.54,315.81,40,14.21,18.87,9,5.09,3,yes
WY,14,646,no,yes,43,179.5,113,30.52,294.19,37,25.01,99.52,73,4.48,16.3,11,4.4,4,no
MT,9,206,yes,no,6,295.68,131,50.27,238.93,133,20.31,228.88,62,10.3,13.69,0,3.7,6,no
LA,40,408,yes,yes,41,27.86,165,4.74,72.93,142,6.2,187.19,13,8.42,16.89,15,4.56,4,no
TX,194,202,yes,yes,25,247.43,190,42.06,161.62,46,13.74,208.71,189,9.39,12.01,16,3.24,7,no
FL,237,415,yes,yes,24,229.02,174,38.93,318.62,172,27.08,145.53,74,6.55,2.69,9,0.73,7,yes
LA,25,718,yes,yes,9,305.38,0,51.91,114.36,132,9.72,105.0,173,4.72,7.82,11,2.11,2,yes
MO,103,512,yes,yes,44,85.45,130,14.53,174.56,77,14.84,16.99,66,0.76,19.43,18,5.25,4,yes
OK,201,512,yes,yes,18,157.54,85,26.78,335.5,52,28.52,260.5,92,11.72,7.02,7,1.9,3,no
TX,246,646,yes,yes,10,324.04,61,55.09,257.15,193,21.86,261.13,52,11.75,17.36,7,4.69,4,yes
NJ,22,718,yes,yes,12,231.0,63,39.27,261.71,61,22.25,234.75,179,10.56,1.86,9,0.5,7,yes
IA,235,407,yes,yes,7,136.07,144,23.13,88.32,22,7.51,225.27,93,10.14,6.68,9,1.8,3,no
WV,238,415,no,yes,39,45.99,125,7.82,145.14,43,12.34,85.3,112,3.84,7.02,17,1.9,4,yes
NJ,4,512,yes,no,3,91.87,104,15.62,28.82,51,2.45,7.82,134,0.35,1.03,9,0.28,6,no
WV,154,718,yes,yes,46,203.43,61,34.58,212.28,45,18.04,283.05,181,12.74,2.38,6,0.64,2,no
NJ,186,415,no,no,30,251.36,34,42.73,36.31,146,3.09,171.9,10,7.74,3.86,3,1.04,5,yes
MT,29,646,yes,no,27,43.55,12,7.4,292.57,83,24.87,107.39,24,4.83,16.76,0,4.53,8,no
IA,109,305,yes,yes,10,209.86,162,35.68,285.09,46,24.23,35.68,186,1.61,1.27,10,0.34,3,no
CO,98,646,no,yes,42,192.62,42,32.75,186.76,90,15.87,21.95,193,0.99,5.97,18,1.61,3,yes
ID,215,407,no,no,0,179.88,129,30.58,49.41,51,4.2,122.1,154,5.49,0.2,4,0.05,5,yes
WY,37,619,yes,no,48,241.54,183,41.06,8.95,23,0.76,281.66,82,12.67,13.91,7,3.76,5,no
FL,75,415,no,no,46,293.11,110,49.83,278.85,144,23.7,321.55,185,14.47,12.41,1,3.35,2,yes
RI,70,512,no,yes,37,113.05,127,19.22,210.05,88,17.85,313.86,92,14.12,12.9,1,3.48,0,yes
NJ,146,408,yes,yes,23,311.15,50,52.9,248.83,173,21.15,322.0,138,14.49,7.49,13,2.02,2,no
WV,128,312,yes,no,46,56.22,181,9.56,106.33,63,9.04,317.7,54,14.3,4.17,8,1.13,7,yes
IA,85,510,yes,no,30,60.56,143,10.3,178.32,118,15.16,184.53,18,8.3,14.41,9,3.89,7,no
NY,42,917,yes,yes,40,93.37,145,15.87,261.51,155,22.23,76.8,91,3.46,16.22,12,4.38,5,no
NJ,100,503,no,no,45,41.84,134,7.11,161.9,177,13.76,279.32,166,12.57,2.77,0,0.75,6,yes
MT,41,415,no,yes,49,80.61,44,13.7,210.48,63,17.89,74.8,89,3.37,9.74,13,2.63,1,no
RI,166,702,no,yes,25,37.24,163,6.33,276.4,155,23.49,93.52,197,4.21,4.97,1,1.34,8,no
MA,34,702,yes,yes,48,287.61,168,48.89,75.33,85,6.4,81.64,10,3.67,3.36,3,0.91,2,yes
NY,17,646,no,yes,49,48.64,41,8.27,23.08,55,1.96,180.24,141,8.11,14.69,18,3.97,1,no
VA,165,202,yes,yes,4,261.55,134,44.46,186.14,58,15.82,112.64,59,5.07,10.76,0,2.91,4,no
ID,153,206,yes,yes,19,16.77,14,2.85,21.74,132,1.85,53.95,163,2.43,4.32,3,1.17,0,yes
TX,230,415,no,yes,40,331.98,59,56.44,268.3,181,22.81,158.61,40,7.14,6.2,10,1.67,4,no
ID,122,718,no,no,10,248.91,39,42.31,251.72,171,21.4,305.87,129,13.76,19.33,12,5.22,9,no
MT,76,512,yes,no,32,2.38,164,0.4,308.6,169,26.23,199.69,184,8.99,16.97,17,4.58,3,no
LA,87,646,no,no,49,267.35,193,45.45,223.85,199,19.03,307.42,106,13.83,17.6,9,4.75,5,yes
FL,117,415,yes,no,37,179.93,111,30.59,23.52,124,2.0,68.56,59,3.09,9.2,4,2.48,4,no
FL,106,407,yes,yes,26,272.78,182,46.37,88.6,184,7.53,58.44,147,2.63,12.48,0,3.37,8,no
NY,86,305,no,no,33,182.87,76,31.09,282.78,46,24.04,201.45,21,9.07,7.54,13,2.04,4,yes
CO,213,646,no,no,14,224.36,104,38.14,58.5,120,4.97,162.17,127,7.3,1.55,15,0.42,7,yes
RI,27,404,no,no,31,275.22,106,46.79,244.47,152,20.78,231.06,125,10.4,8.02,17,2.17,1,no
OK,57,503,no,no,20,141.79,121,24.1,273.09,101,23.21,278.12,102,12.52,11.88,2,3.21,2,yes
VA,31,415,yes,no,45,0.95,79,0.16,115.54,43,9.82,262.96,131,11.83,5.74,2,1.55,2,yes
OK,134,512,no,yes,4,297.48,124,50.57,112.8,14,9.59,329.79,183,14.84,16.96,3,4.58,2,yes
VA,219,510,no,no,5,133.31,183,22.66,195.23,104,16.59,139.39,109,6.27,3.02,6,0.82,5,no
NH,168,202,no,no,37,173.61,171,29.51,301.45,50,25.62,72.24,57,3.25,7.34,12,1.98,6,no
LA,98,619,no,no,21,2.72,184,0.46,78.37,52,6.66,192.82,64,8.68,2.5,8,0.68,6,no
WY,12,619,yes,yes,17,172.23,133,29.28,329.44,33,28.0,38.76,57,1.74,8.1,2,2.19,6,yes
IA,237,718,yes,yes,13,345.27,31,58.7,209.69,123,17.82,101.1,157,4.55,0.79,16,0.21,2,no
MT,249,212,yes,no,9,97.39,107,16.56,347.24,76,29.52,72.76,75,3.27,5.45,14,1.47,0,no
MA,53,408,no,no,45,138.4,113,23.53,31.36,135,2.67,138.8,18,6.25,8.01,9,2.16,5,yes
OK,199,917,no,yes,12,240.52,145,40.89,44.3,122,3.77,38.93,127,1.75,9.56,14,2.58,2,no
MT,138,407,yes,no,30,285.18,67,48.48,289.32,69,24.59,11.14,189,0.5,10.87,0,2.93,2,no
IA,173,407,no,yes,29,146.09,126,24.84,302.66,20,25.73,229.88,103,10.34,5.5,9,1.48,2,no
IA,145,206,no,no,2,108.38,134,18.42,155.91,107,13.25,213.59,106,9.61,10.46,6,2.82,8,yes
TX,154,718,no,yes,29,328.24,113,55.8,249.92,107,21.24,247.93,117,11.16,10.18,6,2.75,3,no
NH,213,415,yes,no,5,237.0,7,40.29,303.65,134,25.81,231.14,195,10.4,6.32,2,1.71,4,yes
